material_id,spacegroup_symbol,spacegroup_number,original_formula,discharged_formula,charged_formula,replaced_element,vpv,discharged_energy_fu_corrected,charged_energy_fu_corrected,applied_correction,discharged_E_above_hull,charged_E_above_hull,average_voltage,mace-neb1 (meV),mace-neb2,mace-neb3,mace-neb4,other_dir,orbv3-neb1 (meV),orbv3-neb2,orbv3-neb3,orbv3-neb4,mace_candidate,orbv3_candidate,TL_neb1 (meV),TL_neb2,TL_neb3,TL_neb4,TL_candidate
mp-759630,P2_1,4,Li2VCr(P2O7)2,Ca2VCr(P2O7)2,VCrP4O14,Li,13.39696139800369,-176.79088575773218,-160.3440946930094,-13.317,0.0242273690803678,0.0440161972245309,3.12,940.0,,,,,1292.1,,,,1,0,2141.7,,,,0
mp-761112,P2_1,4,Li2VCr(P2O7)2,Ca2VCr(P2O7)2,VCrP4O14,Li,13.384854194562978,-176.76670779135242,-160.37315566433458,-13.317,0.0253263675521751,0.0425631486582727,3.11,906.0,,,,,1499.5,,,,1,0,2142.1,,,,0
mp-761121,P1,1,Li2VCr(P2O7)2,Ca2VCr(P2O7)2,VCrP4O14,Li,13.36335533684146,-176.78062673373475,-160.3902153863462,-13.317,0.0246936883529773,0.0417101625576901,3.11,848.0,,,,,1266.7,,,,1,0,1855.3,,,,0
mp-753866,P1,1,Li2VCr(P2O7)2,Ca2VCr(P2O7)2,VCrP4O14,Li,13.450985783456757,-176.81321747463085,-160.4054400794749,-13.317,0.0232122910395187,0.0409489279012564,3.11,1044.0,,,,,1037.7,,,,0,0,1856.4,,,,0
mp-759506,P1,1,Li2VCr(P2O7)2,Ca2VCr(P2O7)2,VCrP4O14,Li,13.356846611673628,-176.7813466511288,-160.37672492061452,-13.317,0.0246609648350659,0.042384685844274,3.11,1981.0,,,,,2146.1,,,,0,0,1827.8,,,,0
mp-759753,P1,1,Li2VCr(P2O7)2,Ca2VCr(P2O7)2,VCrP4O14,Li,13.379667819608644,-176.77405606343453,-160.38437288643868,-13.317,0.024992355184807,0.0420022875530659,3.11,867.0,,,,,1306.8,,,,1,0,1935.0,,,,0
mp-705357,P2_1/c,14,LiMnP2O7,CaMnP2O7,MnP2O7,Li,14.455103014464024,-88.20160878180226,-78.23652082016325,-6.477,0.0316342039270676,0.0227508542336742,3.99,1675.0,,,,,1664.7,,,,0,0,2117.9,,,,0
mp-758076,P2_1/c,14,XLiMnP2O7,CaMnP2O7,MnP2O7,Li,14.48266258886207,-88.1576387205408,-78.24623130044932,-6.477,0.0356314822235646,0.0217798062050675,3.97,1473.0,607.0,,,,1402.4,913.9,,,0,0,1534.9,1299.7,,,0
mp-780706,P1,1,LiMnP2O7,CaMnP2O7,MnP2O7,Li,13.619191178657651,-88.17926180030014,-78.32504592965564,-6.477,0.0336657476999882,0.0138983432844348,3.94,2123.0,2561.0,,,,2214.2,2805.2,,,0,0,1533.2,1596.6,,,0
mp-32022,P2_1/c,14,LiMnP2O7,CaMnP2O7,MnP2O7,Li,13.8309633759319,-88.35447030060226,-78.02536042624148,-6.477,0.0177377022179765,0.0438668936258519,4.17,2357.0,,,,,2389.3,,,,0,0,1093.9,,,,0
